restaurant_id,restaurant_name,country,month,amount,number_of_guests,number_of_bookings
18edc623-4264-40d3-a292-1b7e24e92fb4,Essilor,France,2000_01,259.76,19,3
18edc623-4264-40d3-a292-1b7e24e92fb4,Essilor,France,2000_02,400.27,25,3
18edc623-4264-40d3-a292-1b7e24e92fb4,Essilor,France,2000_03,193.01999999999998,19,2
18edc623-4264-40d3-a292-1b7e24e92fb4,Essilor,France,2000_04,300.23,28,3
18edc623-4264-40d3-a292-1b7e24e92fb4,Essilor,France,2000_05,11.02,6,1
18edc623-4264-40d3-a292-1b7e24e92fb4,Essilor,France,2000_06,44.63,8,1
18edc623-4264-40d3-a292-1b7e24e92fb4,Essilor,France,2000_07,498.34000000000003,16,4
18edc623-4264-40d3-a292-1b7e24e92fb4,Essilor,France,2000_08,249.52,5,2
18edc623-4264-40d3-a292-1b7e24e92fb4,Essilor,France,2000_09,200.83,15,2
18edc623-4264-40d3-a292-1b7e24e92fb4,Essilor,France,2000_10,55.58,9,1
18edc623-4264-40d3-a292-1b7e24e92fb4,Essilor,France,2000_11,98.29,2,1
18edc623-4264-40d3-a292-1b7e24e92fb4,Essilor,France,2000_12,67.19,12,1
18edc623-4264-40d3-a292-1b7e24e92fb4,Essilor,France,2001_01,67.8,8,1
18edc623-4264-40d3-a292-1b7e24e92fb4,Essilor,France,2001_02,197.41,9,1
18edc623-4264-40d3-a292-1b7e24e92fb4,Essilor,France,2001_03,61.77,11,1
18edc623-4264-40d3-a292-1b7e24e92fb4,Essilor,France,2001_04,331.01,23,3
18edc623-4264-40d3-a292-1b7e24e92fb4,Essilor,France,2001_05,346.56,29,4
18edc623-4264-40d3-a292-1b7e24e92fb4,Essilor,France,2001_06,217.62,9,3
18edc623-4264-40d3-a292-1b7e24e92fb4,Essilor,France,2001_07,667.95,38,5
18edc623-4264-40d3-a292-1b7e24e92fb4,Essilor,France,2001_08,129.99,17,2
18edc623-4264-40d3-a292-1b7e24e92fb4,Essilor,France,2001_09,187.47,10,1
18edc623-4264-40d3-a292-1b7e24e92fb4,Essilor,France,2001_10,917.8499999999999,54,8
18edc623-4264-40d3-a292-1b7e24e92fb4,Essilor,France,2001_11,205.2,14,2
18edc623-4264-40d3-a292-1b7e24e92fb4,Essilor,France,2001_12,191.39,17,2
18edc623-4264-40d3-a292-1b7e24e92fb4,Essilor,France,2002_01,248.31,18,3
18edc623-4264-40d3-a292-1b7e24e92fb4,Essilor,France,2002_02,335.07,33,3
18edc623-4264-40d3-a292-1b7e24e92fb4,Essilor,France,2002_03,284.42,12,2
18edc623-4264-40d3-a292-1b7e24e92fb4,Essilor,France,2002_04,43.45,8,1
18edc623-4264-40d3-a292-1b7e24e92fb4,Essilor,France,2002_05,166.28,11,2
18edc623-4264-40d3-a292-1b7e24e92fb4,Essilor,France,2002_06,163.3,6,1
18edc623-4264-40d3-a292-1b7e24e92fb4,Essilor,France,2002_07,264.24,15,2
18edc623-4264-40d3-a292-1b7e24e92fb4,Essilor,France,2002_08,135.43,16,3
18edc623-4264-40d3-a292-1b7e24e92fb4,Essilor,France,2002_09,148.20999999999998,18,2
18edc623-4264-40d3-a292-1b7e24e92fb4,Essilor,France,2002_10,134.94,11,2
18edc623-4264-40d3-a292-1b7e24e92fb4,Essilor,France,2002_11,234.92000000000002,19,3
18edc623-4264-40d3-a292-1b7e24e92fb4,Essilor,France,2002_12,143.92000000000002,13,2
18edc623-4264-40d3-a292-1b7e24e92fb4,Essilor,France,2003_01,490.59,22,3
18edc623-4264-40d3-a292-1b7e24e92fb4,Essilor,France,2003_02,112.1,11,1
18edc623-4264-40d3-a292-1b7e24e92fb4,Essilor,France,2003_03,291.17,20,3
18edc623-4264-40d3-a292-1b7e24e92fb4,Essilor,France,2003_04,535.87,48,5
18edc623-4264-40d3-a292-1b7e24e92fb4,Essilor,France,2003_05,222.6,37,4
18edc623-4264-40d3-a292-1b7e24e92fb4,Essilor,France,2003_06,314.28,29,3
18edc623-4264-40d3-a292-1b7e24e92fb4,Essilor,France,2003_09,386.08000000000004,32,6
18edc623-4264-40d3-a292-1b7e24e92fb4,Essilor,France,2003_10,327.82,10,4
18edc623-4264-40d3-a292-1b7e24e92fb4,Essilor,France,2003_11,315.44,13,2
18edc623-4264-40d3-a292-1b7e24e92fb4,Essilor,France,2003_12,25.4,3,1
18edc623-4264-40d3-a292-1b7e24e92fb4,Essilor,France,2004_01,613.1899999999999,20,4
18edc623-4264-40d3-a292-1b7e24e92fb4,Essilor,France,2004_02,55.91,15,2
18edc623-4264-40d3-a292-1b7e24e92fb4,Essilor,France,2004_03,84.37,5,1
18edc623-4264-40d3-a292-1b7e24e92fb4,Essilor,France,2004_04,392.14,32,3
18edc623-4264-40d3-a292-1b7e24e92fb4,Essilor,France,2004_05,241.81,13,3
18edc623-4264-40d3-a292-1b7e24e92fb4,Essilor,France,2004_06,127.4,2,1
